1,23.6
2,17.2
3,24.0
4,10.9
5,7.5
6,11.4
7,12.3
8,12.9
9,3.3
10,5.4
11,8.6
12,7.5
13,13.2
14,19.2
15,11.6
16,13.1
17,10.6
18,15.3
19,18.7
20,20.5
21,15.3
22,16.8
23,33.9
24,14.7
25,28.6
26,41.7
27,42.4
28,20.6
29,43.1
30,30.7
31,25.8
32,14.7
33,13.8
34,40.1
35,29.6
36,39.7
37,51.2
38,29.3
39,21.7
40,42.1
41,18.4
42,30.7
43,31.1
44,27.8
45,17.2
46,29.8
47,33.0
48,11.5
49,19.8
50,21.6
51,29.2
52,19.2
53,25.9
54,56.5
55,17.1
56,8.8
57,14.1
58,23.6
59,18.7
60,18.9
61,29.0
62,15.6
63,23.4
64,8.9
65,14.9
66,27.9
67,34.4
68,46.6
69,29.6
70,10.4
71,27.6
72,5.1
73,16.9
74,3.4
75,13.2
76,15.4
77,18.2
