1,8.7
2,8.8
3,8.9
4,8.2
5,5.2
6,4.7
7,5.1
8,7.0
9,6.5
10,9.0
11,12.4
12,6.8
13,9.9
14,10.0
15,12.6
16,10.0
17,10.0
18,13.8
19,14.6
20,13.1
21,9.2
22,8.2
23,17.3
24,6.6
25,22.6
26,25.8
27,19.6
28,10.7
29,21.2
30,15.8
31,15.8
32,5.7
33,4.9
34,16.7
35,18.2
36,28.7
37,33.9
38,24.3
39,15.7
40,28.6
41,8.4
42,23.4
43,20.0
44,24.0
45,21.1
46,19.7
47,18.6
48,20.0
49,20.3
50,22.8
51,16.3
52,12.1
53,19.4
54,34.6
55,9.6
56,11.3
57,16.5
58,13.9
59,13.4
60,13.7
61,23.0
62,16.7
63,18.2
64,9.5
65,9.6
66,17.1
67,35.9
68,28.0
69,23.0
70,11.7
71,28.3
72,8.0
73,20.8
74,8.7
75,15.0
76,7.1
77,9.2
